!I|NONE|NONE
!newmap|NONE|NONE
!tm2|324|979
danii5|110|360
darkcore2|NONE|NONE
darkvoid|NONE|NONE
db2|452|1440
db4_classic|276|888
dctf2|776|2389
dd-tw-II|1607|4430
dd.bk|NONE|NONE
dd|899|2276
dd.salam2|982|2596
dd10|485|1264
dd12|765|2223
dd18|1326|4186
dd_abc|1688|4989
dd_abc_short3|1124|3298
ddempty|612|1726
ddm1.1|161|480
ddmap5|1040|3592
ddmap8|244|707
ddmap_by_vlad|897|2471
ddw|NONE|NONE
ddwar-coleR-Men5671ea3|927|2888
ddwar-hot|NONE|NONE
ddwar-of-winter|2475|7382
de_blub3|22|41
deadlock_2|NONE|NONE
deamondash|224|423
death|NONE|NONE
death_dm2_d|298|857
deface-3|1778|5335
demo|153|402
demonul4on4|736|2121
desert_neoX|4|4
desert_neoX_01|16|48
desertbattle|210|662
desertcamp|250|780
desertcamp2|342|1109
desertcamp_glass|250|780
desertcave|315|915
destroider|350|992
difficult 1.3|1102|3160
ding|233|661
dinoctf1|323|842
dira longer b|NONE|NONE
dira_longer|NONE|NONE
dk_vertical|2366|6975
dm.playground|380|1158
dm01|301|905
dm1-winter3|258|792
dm1|258|792
dm100|86|300
dm12|490|1526
dm1_2|258|792
dm1_4|258|792
dm1_air|575|1760
dm1_bot|258|792
dm1_only_one1|258|792
dm1_ptum|258|792
dm2-cop|761|2354
dm2|761|2354
dm2_Dr3ist3r3ric|204|636
dm2_c|761|2354
dm2_carry|761|2354
dm2_imod|761|2354
dm3|190|588
dm6-tw|387|1191
dm6|387|1191
dm7|520|1596
dm7_carry|520|1596
dm7_pickup|492|1512
dm8|159|479
dm9-fastcap|164|482
dm9|146|444
dmSnowfall|204|636
dm_cairo_fix|462|1348
dm_dead_city|66|204
dm_demonface|236|720
dm_factory|375|1067
dm_fly_high|205|602
dm_jumppoint|464|1440
dm_jungle|112|348
dm_lazy|471|1287
dm_moonlight|248|756
dm_qbc|652|2040
dm_rainy|308|928
dm_rumble|439|1418
dm_selva|961|2986
dm_shore|432|1382
dm_snowfall|204|636
dm_snowfall_tournaments|170|528
dm_sunset|222|696
dm_the_one0|194|588
dm_trailer|262|793
dm_twe|360|1117
dm_viva|610|1841
dmdesertsundown|272|840
dmforest|172|528
dmnight_v1.1|426|1324
dmx_DeathMatch|446|1328
do_nothing|93|240
dod_junglerumble3|366|1115
dom_3bases|818|2538
dom_ctf2|460|1464
dom_gallery|272|842
dom_greytower|2378|7109
dom_hq|120|386
dom_lost|630|1816
dom_matrix|106|324
dom_night|663|2027
dom_the3towers|810|2514
dom_warehouse|476|1442
domtown|457|1166
down_under_c_G@mer|956|2823
dream|452|1501
